Time;Value(generator);Value(filterd)
0,004000;32767;-32435
0,004010;32767;-30511
0,004020;32767;-23253
0,004030;32767;-8879
0,004040;32767;8879
0,004050;32767;23253
0,004060;32767;30511
0,004070;32767;32435
0,004080;32767;32767
0,004090;32767;32767
0,004100;32767;32767
0,004110;32767;32767
0,004120;32767;32767
0,004130;32767;32767
0,004140;32767;32767
0,004150;32767;32767
0,004160;32767;32767
0,004170;32767;32767
0,004180;32767;32767
0,004190;32767;32767
0,004200;32767;32767
0,004210;32767;32767
0,004220;32767;32767
0,004230;32767;32767
0,004240;32767;32767
0,004250;32767;32767
0,004260;32767;32767
0,004270;32767;32767
0,004280;32767;32767
0,004290;32767;32767
0,004300;32767;32767
0,004310;32767;32767
0,004320;32767;32767
0,004330;32767;32767
0,004340;32767;32767
0,004350;32767;32767
0,004360;32767;32767
0,004370;32767;32767
0,004380;32767;32767
0,004390;32767;32767
0,004400;32767;32767
0,004410;32767;32767
0,004420;32767;32767
0,004430;32767;32767
0,004440;32767;32767
0,004450;32767;32767
0,004460;32767;32767
0,004470;32767;32767
0,004480;32767;32767
0,004490;32767;32767
0,004500;32767;32767
0,004510;-32767;32435
0,004520;-32767;30511
0,004530;-32767;23253
0,004540;-32767;8879
0,004550;-32767;-8879
0,004560;-32767;-23253
0,004570;-32767;-30511
0,004580;-32767;-32435
0,004590;-32767;-32767
0,004600;-32767;-32767
0,004610;-32767;-32767
0,004620;-32767;-32767
0,004630;-32767;-32767
0,004640;-32767;-32767
0,004650;-32767;-32767
0,004660;-32767;-32767
0,004670;-32767;-32767
0,004680;-32767;-32767
0,004690;-32767;-32767
0,004700;-32767;-32767
0,004710;-32767;-32767
0,004720;-32767;-32767
0,004730;-32767;-32767
0,004740;-32767;-32767
0,004750;-32767;-32767
0,004760;-32767;-32767
0,004770;-32767;-32767
0,004780;-32767;-32767
0,004790;-32767;-32767
0,004800;-32767;-32767
0,004810;-32767;-32767
0,004820;-32767;-32767
0,004830;-32767;-32767
0,004840;-32767;-32767
0,004850;-32767;-32767
0,004860;-32767;-32767
0,004870;-32767;-32767
0,004880;-32767;-32767
0,004890;-32767;-32767
0,004900;-32767;-32767
0,004910;-32767;-32767
0,004920;-32767;-32767
0,004930;-32767;-32767
0,004940;-32767;-32767
0,004950;-32767;-32767
0,004960;-32767;-32767
0,004970;-32767;-32767
0,004980;-32767;-32767
0,004990;-32767;-32767
0,005000;-32767;-32767
0,005010;32767;-32435
0,005020;32767;-30511
0,005030;32767;-23253
0,005040;32767;-8879
0,005050;32767;8879
0,005060;32767;23253
0,005070;32767;30511
0,005080;32767;32435
0,005090;32767;32767
0,005100;32767;32767
0,005110;32767;32767
0,005120;32767;32767
0,005130;32767;32767
0,005140;32767;32767
0,005150;32767;32767
0,005160;32767;32767
0,005170;32767;32767
0,005180;32767;32767
0,005190;32767;32767
0,005200;32767;32767
0,005210;32767;32767
0,005220;32767;32767
0,005230;32767;32767
0,005240;32767;32767
0,005250;32767;32767
0,005260;32767;32767
0,005270;32767;32767
0,005280;32767;32767
0,005290;32767;32767
0,005300;32767;32767
0,005310;32767;32767
0,005320;32767;32767
0,005330;32767;32767
0,005340;32767;32767
0,005350;32767;32767
0,005360;32767;32767
0,005370;32767;32767
0,005380;32767;32767
0,005390;32767;32767
0,005400;32767;32767
0,005410;32767;32767
0,005420;32767;32767
0,005430;32767;32767
0,005440;32767;32767
0,005450;32767;32767
0,005460;32767;32767
0,005470;32767;32767
0,005480;32767;32767
0,005490;32767;32767
0,005500;32767;32767
0,005510;-32767;32435
0,005520;-32767;30511
0,005530;-32767;23253
0,005540;-32767;8879
0,005550;-32767;-8879
0,005560;-32767;-23253
0,005570;-32767;-30511
0,005580;-32767;-32435
0,005590;-32767;-32767
0,005600;-32767;-32767
0,005610;-32767;-32767
0,005620;-32767;-32767
0,005630;-32767;-32767
0,005640;-32767;-32767
0,005650;-32767;-32767
0,005660;-32767;-32767
0,005670;-32767;-32767
0,005680;-32767;-32767
0,005690;-32767;-32767
0,005700;-32767;-32767
0,005710;-32767;-32767
0,005720;-32767;-32767
0,005730;-32767;-32767
0,005740;-32767;-32767
0,005750;-32767;-32767
0,005760;-32767;-32767
0,005770;-32767;-32767
0,005780;-32767;-32767
0,005790;-32767;-32767
0,005800;-32767;-32767
0,005810;-32767;-32767
0,005820;-32767;-32767
0,005830;-32767;-32767
0,005840;-32767;-32767
0,005850;-32767;-32767
0,005860;-32767;-32767
0,005870;-32767;-32767
0,005880;-32767;-32767
0,005890;-32767;-32767
0,005900;-32767;-32767
0,005910;-32767;-32767
0,005920;-32767;-32767
0,005930;-32767;-32767
0,005940;-32767;-32767
0,005950;-32767;-32767
0,005960;-32767;-32767
0,005970;-32767;-32767
0,005980;-32767;-32767
0,005990;-32767;-32767
0,006000;-32767;-32767
0,006010;32767;-32435
0,006020;32767;-30511
0,006030;32767;-23253
0,006040;32767;-8879
0,006050;32767;8879
0,006060;32767;23253
0,006070;32767;30511
0,006080;32767;32435
0,006090;32767;32767
0,006100;32767;32767
0,006110;32767;32767
0,006120;32767;32767
0,006130;32767;32767
0,006140;32767;32767
0,006150;32767;32767
0,006160;32767;32767
0,006170;32767;32767
0,006180;32767;32767
0,006190;32767;32767
0,006200;32767;32767
0,006210;32767;32767
0,006220;32767;32767
0,006230;32767;32767
0,006240;32767;32767
0,006250;32767;32767
0,006260;32767;32767
0,006270;32767;32767
0,006280;32767;32767
0,006290;32767;32767
0,006300;32767;32767
0,006310;32767;32767
0,006320;32767;32767
0,006330;32767;32767
0,006340;32767;32767
0,006350;32767;32767
0,006360;32767;32767
0,006370;32767;32767
0,006380;32767;32767
0,006390;32767;32767
0,006400;32767;32767
0,006410;32767;32767
0,006420;32767;32767
0,006430;32767;32767
0,006440;32767;32767
0,006450;32767;32767
0,006460;32767;32767
0,006470;32767;32767
0,006480;32767;32767
0,006490;32767;32767
0,006500;32767;32767
0,006510;-32767;32435
0,006520;-32767;30511
0,006530;-32767;23253
0,006540;-32767;8879
0,006550;-32767;-8879
0,006560;-32767;-23253
0,006570;-32767;-30511
0,006580;-32767;-32435
0,006590;-32767;-32767
0,006600;-32767;-32767
0,006610;-32767;-32767
0,006620;-32767;-32767
0,006630;-32767;-32767
0,006640;-32767;-32767
0,006650;-32767;-32767
0,006660;-32767;-32767
0,006670;-32767;-32767
0,006680;-32767;-32767
0,006690;-32767;-32767
0,006700;-32767;-32767
0,006710;-32767;-32767
0,006720;-32767;-32767
0,006730;-32767;-32767
0,006740;-32767;-32767
0,006750;-32767;-32767
0,006760;-32767;-32767
0,006770;-32767;-32767
0,006780;-32767;-32767
0,006790;-32767;-32767
0,006800;-32767;-32767
0,006810;-32767;-32767
0,006820;-32767;-32767
0,006830;-32767;-32767
0,006840;-32767;-32767
0,006850;-32767;-32767
0,006860;-32767;-32767
0,006870;-32767;-32767
0,006880;-32767;-32767
0,006890;-32767;-32767
0,006900;-32767;-32767
0,006910;-32767;-32767
0,006920;-32767;-32767
0,006930;-32767;-32767
0,006940;-32767;-32767
0,006950;-32767;-32767
0,006960;-32767;-32767
0,006970;-32767;-32767
0,006980;-32767;-32767
0,006990;-32767;-32767
0,007000;-32767;-32767
0,007010;32767;-32435
0,007020;32767;-30511
0,007030;32767;-23253
0,007040;32767;-8879
0,007050;32767;8879
0,007060;32767;23253
0,007070;32767;30511
0,007080;32767;32435
0,007090;32767;32767
0,007100;32767;32767
0,007110;32767;32767
0,007120;32767;32767
0,007130;32767;32767
0,007140;32767;32767
0,007150;32767;32767
0,007160;32767;32767
0,007170;32767;32767
0,007180;32767;32767
0,007190;32767;32767
0,007200;32767;32767
0,007210;32767;32767
0,007220;32767;32767
0,007230;32767;32767
0,007240;32767;32767
0,007250;32767;32767
0,007260;32767;32767
0,007270;32767;32767
0,007280;32767;32767
0,007290;32767;32767
0,007300;32767;32767
0,007310;32767;32767
0,007320;32767;32767
0,007330;32767;32767
0,007340;32767;32767
0,007350;32767;32767
0,007360;32767;32767
0,007370;32767;32767
0,007380;32767;32767
0,007390;32767;32767
0,007400;32767;32767
0,007410;32767;32767
0,007420;32767;32767
0,007430;32767;32767
0,007440;32767;32767
0,007450;32767;32767
0,007460;32767;32767
0,007470;32767;32767
0,007480;32767;32767
0,007490;32767;32767
0,007500;32767;32767
0,007510;-32767;32435
0,007520;-32767;30511
0,007530;-32767;23253
0,007540;-32767;8879
0,007550;-32767;-8879
0,007560;-32767;-23253
0,007570;-32767;-30511
0,007580;-32767;-32435
0,007590;-32767;-32767
0,007600;-32767;-32767
0,007610;-32767;-32767
0,007620;-32767;-32767
0,007630;-32767;-32767
0,007640;-32767;-32767
0,007650;-32767;-32767
0,007660;-32767;-32767
0,007670;-32767;-32767
0,007680;-32767;-32767
0,007690;-32767;-32767
0,007700;-32767;-32767
0,007710;-32767;-32767
0,007720;-32767;-32767
0,007730;-32767;-32767
0,007740;-32767;-32767
0,007750;-32767;-32767
0,007760;-32767;-32767
0,007770;-32767;-32767
0,007780;-32767;-32767
0,007790;-32767;-32767
0,007800;-32767;-32767
0,007810;-32767;-32767
0,007820;-32767;-32767
0,007830;-32767;-32767
0,007840;-32767;-32767
0,007850;-32767;-32767
0,007860;-32767;-32767
0,007870;-32767;-32767
0,007880;-32767;-32767
0,007890;-32767;-32767
0,007900;-32767;-32767
0,007910;-32767;-32767
0,007920;-32767;-32767
0,007930;-32767;-32767
0,007940;-32767;-32767
0,007950;-32767;-32767
0,007960;-32767;-32767
0,007970;-32767;-32767
0,007980;-32767;-32767
0,007990;-32767;-32767
0,008000;-32767;-32767
0,008010;32767;-32435
0,008020;32767;-30511
0,008030;32767;-23253
0,008040;32767;-8879
0,008050;32767;8879
0,008060;32767;23253
0,008070;32767;30511
0,008080;32767;32435
0,008090;32767;32767
0,008100;32767;32767
0,008110;32767;32767
0,008120;32767;32767
0,008130;32767;32767
0,008140;32767;32767
0,008150;32767;32767
0,008160;32767;32767
0,008170;32767;32767
0,008180;32767;32767
0,008190;32767;32767
0,008200;32767;32767
0,008210;32767;32767
0,008220;32767;32767
0,008230;32767;32767
0,008240;32767;32767
0,008250;32767;32767
0,008260;32767;32767
0,008270;32767;32767
0,008280;32767;32767
0,008290;32767;32767
0,008300;32767;32767
0,008310;32767;32767
0,008320;32767;32767
0,008330;32767;32767
0,008340;32767;32767
0,008350;32767;32767
0,008360;32767;32767
0,008370;32767;32767
0,008380;32767;32767
0,008390;32767;32767
0,008400;32767;32767
0,008410;32767;32767
0,008420;32767;32767
0,008430;32767;32767
0,008440;32767;32767
0,008450;32767;32767
0,008460;32767;32767
0,008470;32767;32767
0,008480;32767;32767
0,008490;32767;32767
0,008500;32767;32767
0,008510;-32767;32435
0,008520;-32767;30511
0,008530;-32767;23253
0,008540;-32767;8879
0,008550;-32767;-8879
0,008560;-32767;-23253
0,008570;-32767;-30511
0,008580;-32767;-32435
0,008590;-32767;-32767
0,008600;-32767;-32767
0,008610;-32767;-32767
0,008620;-32767;-32767
0,008630;-32767;-32767
0,008640;-32767;-32767
0,008650;-32767;-32767
0,008660;-32767;-32767
0,008670;-32767;-32767
0,008680;-32767;-32767
0,008690;-32767;-32767
0,008700;-32767;-32767
0,008710;-32767;-32767
0,008720;-32767;-32767
0,008730;-32767;-32767
0,008740;-32767;-32767
0,008750;-32767;-32767
0,008760;-32767;-32767
0,008770;-32767;-32767
0,008780;-32767;-32767
0,008790;-32767;-32767
0,008800;-32767;-32767
0,008810;-32767;-32767
0,008820;-32767;-32767
0,008830;-32767;-32767
0,008840;-32767;-32767
0,008850;-32767;-32767
0,008860;-32767;-32767
0,008870;-32767;-32767
